Modified Main charge,Court Days,Prep Hours
Attempt Murder,60,430
Attempt Murder,60,450
Attempt Murder,55,350
Attempt Murder,55,440
Attempt Murder,50,375
Attempt Murder,50,380
Attempt Murder,50,950
Attempt Murder,45,20
Attempt Murder,45,300
Attempt Murder,45,450
Attempt Murder,45,480
Attempt Murder,40,250
Attempt Murder,40,300
Attempt Murder,40,325
Attempt Murder,40,350
Attempt Murder,40,400
Attempt Murder,40,450
Attempt Murder,40,450
Attempt Murder,40,450
Attempt Murder,35,250
Attempt Murder,35,350
Attempt Murder,33,760
Attempt Murder,30,250
Attempt Murder,30,300
Attempt Murder,30,300
Attempt Murder,30,350
Attempt Murder,30,350
Attempt Murder,30,400
Attempt Murder,30,450
Attempt Murder,29,420
Attempt Murder,28,225
Attempt Murder,25,250
Attempt Murder,25,275
Attempt Murder,25,300
Attempt Murder,25,300
Attempt Murder,25,375
Attempt Murder,25,400
Attempt Murder,25,450
Attempt Murder,25,450
Attempt Murder,22,275
Attempt Murder,22,390
Attempt Murder,20,325
Attempt Murder,20,325
Attempt Murder,20,350
Attempt Murder,20,350
Attempt Murder,20,360
Attempt Murder,20,375
Attempt Murder,20,400
Attempt Murder,19,200
Attempt Murder,16,220
Attempt Murder,15,230
Attempt Murder,15,230
Attempt Murder,15,250
Attempt Murder,15,256
Attempt Murder,15,257
Attempt Murder,15,264
Attempt Murder,15,275
Attempt Murder,15,300
Attempt Murder,15,300
Attempt Murder,15,315
Attempt Murder,15,325
Attempt Murder,15,325
Attempt Murder,15,350
Attempt Murder,15,370
Attempt Murder,14,240
Attempt Murder,13,375
Attempt Murder,12,220
Attempt Murder,12,275
Attempt Murder,12,650
Attempt Murder,11,243.5
Attempt Murder,11,250
Attempt Murder,11,275
Attempt Murder,10,250
Attempt Murder,10,250
Attempt Murder,10,300
Attempt Murder,10,350
Attempt Murder,9,250
Attempt Murder,8,275
Attempt Murder,8,300
Attempt Murder,8,312
Attempt Murder,7,200
Attempt Murder,7,200
Attempt Murder,7,200
Attempt Murder,7,250
Attempt Murder,7,250
Attempt Murder,7,270
Attempt Murder,7,300
Attempt Murder,6,175
Attempt Murder,6,250
Attempt Murder,6,272
Attempt Murder,6,280
Attempt Murder,5,200
Attempt Murder,5,200
Attempt Murder,5,205
Attempt Murder,5,220
Attempt Murder,5,225
Attempt Murder,5,225
Attempt Murder,5,225
Attempt Murder,5,225
Attempt Murder,5,225
Attempt Murder,5,235
Attempt Murder,5,250
Attempt Murder,5,252
Attempt Murder,5,260
Attempt Murder,5,300
Attempt Murder,4,225
Attempt Murder,4,225
Attempt Murder,4,225
Attempt Murder,4,250
Attempt Murder,4,250
Attempt Murder,3,175
Attempt Murder,3,200
Attempt Murder,3,200
Attempt Murder,3,200
Attempt Murder,3,225
Attempt Murder,3,225
Attempt Murder,3,235
Attempt Murder,3,250
Attempt Murder,3,250
Attempt Murder,2,175
Attempt Murder,2,180
Attempt Murder,2,200
Attempt Murder,2,200
Attempt Murder,2,200
Attempt Murder,2,200
Attempt Murder,2,215
Attempt Murder,2,225
Attempt Murder,2,225
Attempt Murder,2,230
Attempt Murder,2,250
Attempt Murder,2,250
Attempt Murder,2,250
Attempt Murder,1,160
Attempt Murder,1,175
Attempt Murder,1,180
Attempt Murder,1,190
Attempt Murder,1,200
Attempt Murder,1,200
Attempt Murder,1,200
Attempt Murder,1,200
Murder,60,480
Murder,60,500
Murder,60,500
Murder,60,500
Murder,60,500
Murder,60,500
Murder,60,500
Murder,60,510
Murder,60,550
Murder,60,589
Murder,60,600
Murder,60,600
Murder,60,600
Murder,60,600
Murder,60,620
Murder,60,630
Murder,60,640
Murder,60,650
Murder,60,650
Murder,60,650
Murder,60,650
Murder,60,650
Murder,60,650
Murder,60,650
Murder,60,652
Murder,60,656
Murder,60,680
Murder,58,600
Murder,58,639.15
Murder,58,680
Murder,58,1050
Murder,57,633
Murder,56,580
Murder,55,450
Murder,55,450
Murder,55,550
Murder,55,550
Murder,55,570
Murder,55,580
Murder,55,590
Murder,55,600
Murder,55,600
Murder,55,600
Murder,55,600
Murder,55,600
Murder,55,610
Murder,55,620
Murder,55,625
Murder,55,650
Murder,55,650
Murder,55,650
Murder,55,650
Murder,55,650
Murder,55,650
Murder,55,650
Murder,55,650
Murder,55,660
Murder,55,666
Murder,55,680
Murder,55,690
Murder,54,475
Murder,54,600
Murder,54,620
Murder,54,640
Murder,54,650
Murder,53,450
Murder,52,450
Murder,52,450
Murder,52,450
Murder,52,630
Murder,50,550
Murder,50,560
Murder,50,560
Murder,50,600
Murder,50,600
Murder,50,600
Murder,50,600
Murder,50,600
Murder,50,600
Murder,50,600
Murder,50,600
Murder,50,600
Murder,50,610
Murder,50,620
Murder,50,620
Murder,50,630
Murder,50,636.86
Murder,50,640
Murder,50,650
Murder,50,650
Murder,50,660
Murder,50,660
Murder,50,865
Murder,45,450
Murder,45,550
Murder,45,550
Murder,45,550
Murder,45,550
